address,token_uri
0x6b1fdacef2cbb2e3c372a831ddc1b175542f4be2,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0xc7ccc0341cdce1293791985891804445ba5f2a9d,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0xace0961a2aaf04474b516c8888d56a75455e0e6b,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0xee542a86d0081393be9448e011691041357bc1b3,http://127.0.0.1:8080/ipfs/QmSqFZUVFdVpV6gxWD6hKKUowsQGUVSdgnc8ysakX9DxHP
0xd5b68eb006584d3c92c37b8d637b5dcbb878fdb9,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0xba899b9c7d67e974b4561fccf711c9590511b9e9,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0xa84c7673abfa8d978d6b1f6db58b9ada945b4749,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0xa815c33785999eddc64b5476837fa677a1d3fe96,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0xc8218c4b56eef679d56fc042895894647454f90e,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0x9fd5192893c0cd7deeff06fee309c4dbe433100a,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0x29f4101ecbc1d33216e5388fbe5cce897e97af9f,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0xdb2001b42f38716ce6833cce9382e09731f7641b,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0x230a78720c8a4936845f4cc2415e27548750e123,http://127.0.0.1:8080/ipfs/QmRkwJpvrNKg9eeqQXof6wESCHhJHvMBN771toujeCd3XB/meta.json
0x148c1fcd882be0c3ea119c53319a94e5ef1c593e,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0xb024b2d1268712374e8fc6b62cf4b911e8bac3f5,https://oss.lingape.com/nft/1/token.json
0x83b01eff480ac2bd95387cfe7288ef87fe9122b9,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
0xfa24fd25881966b7729df96f2bc2a7d6a7cd706b,https://oss.lingape.com/nft/1/token.json
0x0042c30ca21c7f14a5d0688abfa96079e1857a02,http://127.0.0.1:8080/ipfs/QmUMgDyf23uNJHnuwNYhxXQZvsxDui3TCTmpGHUghU4RMJ
