ERROR_TYPE,COUNT,PERCENTAGE
"No URI found on contract (even with exact ID) — Last revert/error: ('execution reverted: 0x', '0x')",1413,50.2%
Invalid URI: unsupported scheme in '1',77,2.74%
[http] Invalid URI: skipped host 'example.com',17,0.6%
[http] Invalid URI: skipped host 'localhost',15,0.53%
Invalid URI: unsupported scheme in '1.json',14,0.5%
"[ipfs_gateway] Network Error: HTTPConnectionPool(host='127.0.0.1', port=8080): Read timed out. (read timeout=5) | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju.json | [ipfs_gateway] Network Error: HTTPSConnectionPool(host='ipfs.io', port=443): Read timed out. (read timeout=5) | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju.json | [ipfs_gateway] Network Error: HTTPSConnectionPool(host='bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju.ipfs.dweb.link', port=443): Read timed out. (read timeout=5) | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju | [ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju.json",9,0.32%
"[http] Network Error: HTTPSConnectionPool(host='forgai.io', port=443): Max retries exceeded with url: /nfa/metadata/1 (Caused by NameResolutionError(""HTTPSConnection(host='forgai.io', port=443): Failed to resolve 'forgai.io' ([Errno -2] Name or service not known)""))",8,0.28%
Invalid URI: unsupported scheme in '11.json',7,0.25%
"[http] Network Error: HTTPSConnectionPool(host='api.liquidnfts.finance', port=443): Read timed out. (read timeout=8)",7,0.25%
"[http] Network Error: HTTPSConnectionPool(host='api.dingdong.game', port=443): Max retries exceeded with url: /nft/metadata/1 (Caused by NameResolutionError(""HTTPSConnection(host='api.dingdong.game', port=443): Failed to resolve 'api.dingdong.game' ([Errno -2] Name or service not known)""))",6,0.21%
"[http] Network Error: HTTPSConnectionPool(host='api.icw.gift', port=443): Max retries exceeded with url: /metadata/0000030000000001.json (Caused by NameResolutionError(""HTTPSConnection(host='api.icw.gift', port=443): Failed to resolve 'api.icw.gift' ([Errno -2] Name or service not known)""))",6,0.21%
"[http] Network Error: HTTPSConnectionPool(host='h2o.local', port=443): Max retries exceeded with url: /node/1 (Caused by NameResolutionError(""HTTPSConnection(host='h2o.local', port=443): Failed to resolve 'h2o.local' ([Errno -2] Name or service not known)""))",5,0.18%
[ipfs_gateway] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/dream-card/card.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/dream-card/card.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/dream-card/card.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/dream-card/card.json,5,0.18%
"On-Chain Parse Error: <string>:1 Unexpected ""5"" at column 126",5,0.18%
