ERROR_TYPE,COUNT,PERCENTAGE
No URI found on contract (even with exact ID),1640,66.56%
Invalid URI format,187,7.59%
Contract/Parse Error: Returned HTML/CAPTCHA instead of JSON,66,2.68%
"On-Chain Parse Error: <string>:1 Unexpected ""5"" at column 126",5,0.2%
"Network Error: HTTPSConnectionPool(host='nft.loops.finance', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1081)')))",5,0.2%
Network Error: 404 Client Error: Not Found for url: https://sape-imgs-real.vercel.app/images/,4,0.16%
Contract/Parse Error: Empty response body,4,0.16%
"On-Chain Parse Error: <string>:1 Unexpected """,4,0.16%
"On-Chain Parse Error: <string>:1 Unexpected "":"" at column 14",3,0.12%
Invalid URI format: relative path,3,0.12%
Network Error: 403 Client Error: Forbidden for url: https://cdn.pixabay.com/,3,0.12%
Network Error: 404 Client Error: Not Found for url: https://smiling-chocolate-beaver.myfilebase.com/ipfs/QmdAY41wV8eg5psFbmGCPJQpMkrKqauJAevXcvZKAnhpk4,3,0.12%
Network Error: 403 Client Error: Forbidden for url: https://amaranth-quiet-jaguar-390.mypinata.cloud/ipfs/bafybeievwm3qpip26fl3kulgpmy3xsdp5zezgvfsqbpeifg3umitextj4y/scf.json,2,0.08%
Network Error: 403 Client Error: Forbidden for url: https://cyan-mad-viper-620.mypinata.cloud/ipfs/bafybeicxpgx7d7pptgsic4pfazmpkvna2mir46kmbp2e2fffpcodi3pkmm/1.json,2,0.08%
"On-Chain Parse Error: <string>:1 Unexpected ""h"" at column 105",2,0.08%
Network Error: 403 Client Error: Forbidden for url: https://lpclaw.vip/meta/1.json,2,0.08%
Network Error: 403 Client Error: Forbidden for url: https://blackrainbow.mypinata.cloud/ipfs/QmaXVYEQEMMykH5zkwUYxhe836gKgmA2vRVV5cYQouKkAr/,2,0.08%
Network Error: 404 Client Error: Not Found for url: https://ghostos.top/lfc/1,2,0.08%
Contract/Parse Error: Expecting value: line 1 column 1 (char 0),2,0.08%
Network Error: 404 Client Error: Not Found for url: http://207.148.127.15/nft/,2,0.08%
Network Error: 404 Client Error: Not Found for url: https://freedomofnft.xyz/metadata/1.json,2,0.08%
Network Error: 400 Client Error: Bad Request for url: https://chocolate-important-vicuna-187.mypinata.cloud/ipfs/bafkreie5k4ek3jbeloehzukhwavfewzfgke3a36pbnslg5scwkg7di7nhm1,2,0.08%
Network Error: 400 Client Error: Bad Request for url: https://chocolate-important-vicuna-187.mypinata.cloud/ipfs/bafkreifw5inoaon374vxnzravgrfsi3kweahldntafshvyxxwlavhjyw5i1,2,0.08%
Network Error: 400 Client Error: Bad Request for url: https://chocolate-important-vicuna-187.mypinata.cloud/ipfs/bafkreihoggvh6hcchextjxemtz2f53rdn3hsikctaddja3kzwxp4bi6nfy1,2,0.08%
Network Error: 404 Client Error: Not Found for url: http://ceshi.sktoken.lol/assets/nft-tier-1.svg,2,0.08%
Network Error: 502 Server Error: Bad Gateway for url: https://pepex.fit/nft/metadata/1,2,0.08%
Network Error: 404 Client Error: Not Found for url: https://racawebsource.s3.us-east-2.amazonaws.com/metamon/metadata/normal/metamon_,2,0.08%
Network Error: 404 Client Error: Not Found for url: https://symbio-nft.paulyk83.workers.dev/1.json,2,0.08%
"Network Error: HTTPConnectionPool(host='159.75.126.10', port=8864): Max retries exceeded with url: /metadata/1 (Caused by ConnectTimeoutError(<HTTPConnection(host='159.75.126.10', port=8864) at 0x7efc3857fce0>, 'Connection to 159.75.126.10 timed out. (connect timeout=15)'))",2,0.08%
"Network Error: HTTPSConnectionPool(host='www.lkcat.org', port=443): Max retries exceeded with url: /nfts/1 (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1081)')))",2,0.08%
Network Error: 404 Client Error: Not Found for url: https://remix.ethereum.org//1.json,2,0.08%
Network Error: 526 Server Error: <none> for url: https://api.pantheon.best/tokens/1,2,0.08%
Network Error: 404 Client Error: Not Found for url: https://trade.3o.pw/metadata/1,2,0.08%
Network Error: 400 Client Error: Bad Request for url: https://orange-huge-jay-540.mypinata.cloud/ipfs/3.json,2,0.08%
Network Error: 500 Server Error: Internal Server Error for url: https://k51qzi5uqu5dk3bm4dihh2bgna065kvf44rmshffv9ff0y67tlzpaw3s4ws7da.ipns.dweb.link/,2,0.08%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BMBMONSTERRA/1,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BMBXPS/1,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BMBKAKA/1,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://dream-finance.herokuapp.com/assets/logo-34ff2880858181a98401c15a03f545ec4d82516a517b3f05cb5c8506dd9659a5.png,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/HYAPER/1,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://www.pvp.money/metadata/1.json,1,0.04%
Network Error: 403 Client Error: Forbidden for url: https://cybertune2.mypinata.cloud/ipfs/QmdWrESzDQu8GXj2YRHxPVMdcYANgEbJxLHVGp5j6Swa86,1,0.04%
"Network Error: HTTPSConnectionPool(host='flapmonster.fun', port=443): Max retries exceeded with url: /nft/ (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1081)')))",1,0.04%
Network Error: 404 Client Error: Not Found for url: https://racawebsource.s3-accelerate.amazonaws.com/harvard_land/metadata/r/,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/FAPE/1,1,0.04%
"Network Error: HTTPSConnectionPool(host='pltnode.xyz', port=443): Max retries exceeded with url: /mate/1 (Caused by ConnectTimeoutError(<HTTPSConnection(host='pltnode.xyz', port=443) at 0x7efc3844a850>, 'Connection to pltnode.xyz timed out. (connect timeout=15)'))",1,0.04%
"Network Error: HTTPSConnectionPool(host='pltnode.xyz', port=443): Max retries exceeded with url: /mate/1 (Caused by ConnectTimeoutError(<HTTPSConnection(host='pltnode.xyz', port=443) at 0x7efc3844ae90>, 'Connection to pltnode.xyz timed out. (connect timeout=15)'))",1,0.04%
Network Error: 404 Client Error: Not Found for url: https://starshipremit.dailyremit.com/metadata/,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://graphigo.prd.galaxy.eco/metadata/0x5a364f8af2326b36131acf4d6508cd47d731d94b/,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://your-api.com/metadata/0000000000000000000000000000000000000000000000000000000000000001.json,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/LWN/1,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://alienhorrorapes.meta.rareboard.com/api,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://mine.hashnetwork.live/api/nft/,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://oapotmutjqoddcvvhwic.supabase.co/functions/v1/flap-metadata/1.json,1,0.04%
Network Error: 404 Client Error: Not Found for url: https://backend.play.gravitylabs.xyz/v1/metadata/1,1,0.04%
